buy_price,sell_price,profit,time
1680.5,1681.4,0.900000000000091,2026-01-28 09:20:00+05:30
1660.1,1659.0,-1.099999999999909,2026-01-28 12:10:00+05:30
1655.2,1654.0,-1.2000000000000455,2026-01-28 13:20:00+05:30
1655.4,1654.5,-0.900000000000091,2026-01-28 14:25:00+05:30
1655.1,1650.4,-4.699999999999818,2026-01-29 09:15:00+05:30
1647.2,1648.4,1.2000000000000455,2026-01-29 12:05:00+05:30
1648.9,1659.7,10.799999999999955,2026-01-29 14:15:00+05:30
1661.4,1660.0,-1.400000000000091,2026-01-29 14:35:00+05:30
1661.3,1661.3,0.0,2026-01-29 14:55:00+05:30
1662.3,1658.5,-3.7999999999999545,2026-01-29 15:10:00+05:30
1661.0,1632.8,-28.200000000000045,2026-01-30 09:15:00+05:30
1626.2,1622.4,-3.7999999999999545,2026-01-30 11:05:00+05:30
1624.9,1626.2,1.2999999999999545,2026-01-30 13:30:00+05:30
